,text,likes,timestamp
89,"Leader of Congress in Lok Sabha Mr @adhirrcinc : 

Sir, ये सोचा था कि @RahulGandhi जी का भाषण होगा, और राहुल गांधी जी का भाषण नहीं हुआ तो ये (सत्ता पक्ष - BJP) गुग़ली खा गए

#LokSabha #Manipur",2544,08-08-2023
90,"BJP MP Nishikant Dubey responds to Congress' Gaurav Gogoi on the Manipur issue and says 'Congress must look at the history of Northeast and should not preach us on  Manipur.'  

#ManipurIssue #Manipur #Northeast #NishikantDubey #BJP    

WATCH #LIVE here-
piped.video/rHo10YbV0JU",187,08-08-2023
91,For  COCOMI&meira paibis...anything and everything is justified..even rape ..as long as it is for the community cause..looting guns  is nothing less then something patriotic....Can Kuki-zo tribes condone all this at the cost of their lives for the sake of manipur integrity ?,36,08-08-2023
92,"Thank you for bringing out the truth and every Indian should know what’s happening in Manipur and the atrocities towards the #meitei 

The Chin- KuKi- Mizo community will never agree or understand anything beyond their selfish communal mindset. 

#KukiChinTerrorist are razing war…",61,08-08-2023
93,"""Today we are in a situation 

Where women are justifying rape

Where women are asking men to rape other women

Not just Manipur it's all over the Nation

Manipur is witnessing a kind of ethnic cleansing.The centre is complicit., the state is partisan, and the security forces are…",212,08-08-2023
94,How come both Manipur MPs are not talking ? Why don’t they give real insights of what going on .. ohh they are not supposed to talk truth .. suppress all info policy,0,08-09-2023
95,"The Meitei hindus have started attacking Muslims in #Manipur.

The Muslims helped the Christian Kukis who were under attack from hindus and now Muslims are facing attack.
The well armed hindus have the support of Police and government.

The hindus killed several Christians.",173,08-08-2023
96,I bet not a single person who raised their voice on Manipur would speak on this.,73,08-08-2023
97,"""My father is improving day by day, but the progress is very slow since the damage that was done is extensive,"" said Joseph Valte, the son of #Manipur #BJP MLA Vungzagin Valte who was brutally attacked by a mob in Imphal on 5 May. @Wannabhistorian reports. thequint.com/news/india/disa…",4,08-09-2023
98,"Two side of Manipur!!
Meitei mobs looted more then 5000 sophisticated weapons and brandishing openly in full public view without any fear of law !!

But other hand operations carried out to KukiZo people in the hills who defend themselves with country made gun to saves their…",137,08-08-2023
99,"The INDIA parties walked out of the Rajya Sabha today for the rest of the day because of: 

1. The continued refusal of the Modi government to allow an immediate discussion on Manipur on the basis of a mutually negotiated Motion. 

2. The continued refusal of the Leader of the…",3348,08-08-2023
100,"Bulldozing Tribals in Manipur

◾Is there any doubt that it is Ethnic Cleansing?

Tribal colony in #Imphal is forcefully & illegally evicted by #BirenSingh and Destroy Houses including Church.
 
It's perceivable that he's planning a Civil War against the Tribals.…",278,08-08-2023
101,When is someone going to Manipur?,0,08-09-2023
102,"The chapter: Assam Riffles

Wide Poppy cultivation is found around the Assam Riffle camps in Manipur.

We found the reason why #Kuki and #AR have such relationships.

@Spearcorps @adgpi @PIBHomeAffairs @AbhijitChavda @ramindesai @BDUTT @kartikeya_1975 @brijeshpandey27 @AmitShah…",89,08-08-2023
103,"""2 BJP MPs from Manipur were not allowed to speak in parliament today.""

Congress MP Gaurav Gogoi. 
#NoConfidenceMotion",2042,08-08-2023
